	name	ssn	relationship	leukocyty	trombocyty	erytrocyty	er-cv	smoker	hemoglobin	indicator	hbver	hematokrit	etytr	alt	weight	ast	alp
0	Christine Morris	719-19-5928	single	4.89456	4.96027	6.01413	61.49695	Y	5.93692	0.00000	7.79619	5.37958	5.47919	13.72002	65.61041	34.62178	83.98761
1	Lydia Bowman	580-82-0235	single	4.39961	4.65620	5.22607	45.81785	yes	6.37683	1.00000	4.60443	7.32466	4.39821	5.20215	19.75707	53.85212	88.94264
2	Trevor Leblanc	604-63-1344	single	6.46639	4.95082	5.68469	35.19715	Y	5.68526	0.00000	9.69632	5.41049	3.00669	9.55954	35.70722	48.54269	84.48405
3	Barbara Galloway	762-39-0891	separated	5.52904	5.39870	5.49656	41.52287	no	5.24691	1.00000	4.82470	7.44400	4.94208	6.88538	92.25024	62.47847	79.24375
4	Susan Soto PhD	436-39-7119	single	6.81428	3.68756	5.61364	54.99315	no	5.88366	1.00000	4.95619	6.12667	4.32820	9.79670	61.70585	43.05721	81.97166
5	Teresa Gross	217-21-6588	married	6.13387	6.53488	4.95883	48.57151	yes	4.99156	0.00000	7.10419	4.71133	3.99108	6.86986	114.20642	64.08820	56.94948
6	Yvonne Willis	827-20-5563	married	5.68758	5.39490	6.47299	43.66183	yes	6.00879	1.00000	5.92346	7.25427	5.57677	11.01154	115.73949	46.69054	87.91526
7	Carmen Cuevas	533-36-6097	single	4.61759	7.08114	7.60754	31.87601	no	7.27416	1.00000	4.48148	7.36128	4.18766	15.12004	91.85879	36.92149	69.87310
8	Destiny Meyer	446-59-8132	divoced	5.31054	5.09902	7.14917	50.20521	no	4.80118	0.00000	7.78717	7.44192	3.12941	11.92701	38.33804	29.53368	49.93803
9	Allen Thomas	009-43-2214	widowed	5.62295	4.60462	5.91234	63.67169	no	6.87139	1.00000	5.56466	6.64718	5.04020	5.26871	76.02416	36.47572	86.36889
10	Sue Valdez	200-84-3218	separated	6.05613	6.23770	3.93828	47.87806	Y	3.47041	1.00000	3.85547	6.79639	5.08705	9.41030	65.61738	32.06165	13.69740
11	Lisa Molina	332-20-4135	separated	7.32529	4.21114	6.28828	59.24065	yes	4.27738	1.00000	5.46049	6.04692	3.43560	11.55744	98.29490	45.30512	28.65885
12	Debra Olson	754-07-6122	married	4.81036	6.90749	4.65597	50.51411	yes	6.85635	1.00000	4.78967	6.00088	5.83253	9.47422	79.77720	37.62876	81.42805
13	Roger Davis	563-17-1041	divoced	5.85938	4.20729	3.69824	59.17690	yes	5.94918	0.00000	5.23167	7.93986	3.94423	8.54604	106.93532	45.24507	83.00922
14	Dr. Shawna Hatfield	850-81-5079	single	6.30811	7.13100	7.04253	37.61392	no	5.56508	1.00000	4.84550	8.18686	4.21063	12.83311	-10.98500	29.36005	88.29357
15	Debra Alexander	284-21-4521	married	7.54250	4.98017	6.01137	30.45466	no	6.68067	1.00000	3.78666	7.84186	4.98345	8.32051	133.99120	59.93655	91.83477
16	Jennifer Duran	761-81-7097	nop	5.92759	7.05928	5.93960	44.62136	no	7.41743	0.00000	5.87325	4.69877	3.73142	7.00803	79.74257	52.73391	68.01843
17	Jodi Gutierrez	735-49-3381	divoced	5.40831	4.58068	4.63632	41.34557	no	5.42931	1.00000	3.98614	7.36212	4.26946	8.34466	62.01644	42.93533	68.03762
18	Donald Taylor	526-06-9637	separated	4.31559	6.52189	5.16386	37.77777	no	4.17689	1.00000	3.47097	7.21644	4.73548	10.27286	75.91901	52.16363	26.42713
19	Ellen Henry	192-11-7717	single	6.22999	2.98284	4.60452	24.46094	no	5.31413	1.00000	4.18628	6.04446	3.04662	9.36659	97.02369	49.63589	71.91592
20	Jason Smith	637-25-7434	married	6.85671	3.42712	6.72097	31.80023	no	4.09733	1.00000	4.06767	6.00449	4.42781	12.73496	54.85506	33.40312	20.48187
21	Brian Mcgee	035-35-0387	single	5.87885	6.97932	6.91463	35.79363	yes	5.26081	0.00000	6.67395	4.61779	5.04469	12.54785	74.32618	60.41501	74.70856
22	Matthew Roberson	508-72-1285	married	5.74093	6.36808	5.42485	38.39424	no	5.24731	1.00000	3.97462	6.46966	5.33675	7.63215	92.25335	77.53531	71.20141
23	Maria Martinez	233-52-5694	widowed	7.35972	5.40011	6.18492	42.07396	no	5.12690	0.00000	7.95243	4.80620	3.03449	6.51845	35.11341	42.27005	57.71557
24	Megan Walker	550-50-5993	single	5.48706	6.68432	6.47488	34.68920	no	4.82474	0.00000	5.65189	4.71741	4.19616	11.92594	117.69347	24.65316	44.84854
25	Rebecca Hernandez	025-43-6061	divoced	6.73200	4.89538	6.62992	39.64817	no	4.76380	0.00000	7.81059	5.87387	2.65600	12.21616	157.67297	50.05373	52.05104
26	Joan Blanchard	658-19-1943	divoced	5.64316	6.62620	9.17797	21.47875	yes	6.98546	0.00000	4.93841	5.63859	4.95240	44.55046	39.50448	48.91747	76.03069
27	Susan Williams	573-62-8100	nop	7.12972	7.24632	5.75962	50.94188	Y	7.71573	0.00000	7.88249	3.93165	4.61903	10.27569	92.44598	72.94441	51.91595
28	Brandon Beck	760-82-2596	divoced	5.42878	6.34282	6.58905	54.33961	no	6.43139	0.00000	6.94802	5.26266	4.34462	12.63763	83.51786	23.55804	86.65761
29	Michael Colon	569-89-1662	divoced		5.85816	4.19277	71.79064	no	6.60956	0.00000	7.37119	4.37863	3.23296	10.51246	59.76883	45.45766	81.88869
30	Kathryn Spencer	512-14-6211	separated	6.55272	8.73953	6.66950	46.11501	no	4.95739	1.00000	6.79553	8.05917	3.48128	9.13070	65.18302	44.53586	57.82069
31	Bryan Young	377-78-1328	single	6.42484	6.94367	4.85679	37.09971	no	5.55894	0.00000	6.69505	4.83465	3.43178	6.92239	56.49271	28.22129	79.21841
32	Michael King	493-06-5026	divoced	8.66231	7.28788	8.63059	47.56144	Y	6.04873	1.00000	3.26423	6.76387	6.50164	30.94376	82.32594	42.10901	91.26430
33	Christopher Petersen	657-71-3884	divoced	7.17799	6.89599	6.33937	62.89345	no	5.65392	0.00000	5.08224	5.48228	4.48177	7.22339	123.53907	33.64059	80.39434
34	Rebecca Zavala	450-90-5021	married	5.53766	6.05466	5.94539	54.50334	yes	5.41034	1.00000	3.65618	9.35043	5.75459	8.48562	49.25696	27.27946	79.99422
35	Tanya Morris	245-30-1525	divoced	5.00827	6.68832	5.94413	25.90007	yes	3.92216	1.00000	5.66518	7.83385	4.04000	10.61409	65.68451	46.74122	13.76310
36	Ryan Jones	658-91-1116	single	4.79150	4.76085	5.13288	45.64823	yes	6.05543	1.00000	4.58457	7.55519	5.59290	7.33090	103.44022	43.17307	85.45564
37	Scott Cooper	780-99-4821	single	3.03907	4.40696	5.09853	40.92034	no	6.73084	0.00000	7.73987	7.70958	2.89238	7.15577	85.07026	51.68966	83.45810
38	Bradley Nguyen	506-68-7256	married	6.46329	4.40043	4.58936	50.84612	no	9.03476	0.00000	5.88987	7.15336	5.61364	9.74461	33.60839	52.03617	3.31789
39	Doris Lewis	714-94-6539	single	5.44169	3.66276	3.90202	36.91200	no	4.19491	1.00000	4.51113	6.00106	3.92271	6.88198	107.04931	36.23124	41.03494
40	Michelle Yang	749-39-7477	nop	4.91705	8.01013	8.41339	40.50493	yes	5.91174	1.00000	4.76933	8.48817	3.53975	22.94107	85.22397	60.70134	87.37064
41	Susan Braun	851-34-2803	nop	6.52726	6.96453	6.63480	48.39757	no	4.06329	1.00000	5.41221	6.83752	4.10937	6.75000	47.21538	56.29683	27.01053
42	Shelia Cole	499-54-7531	nop	5.48126	6.36903	5.30576	42.36425	no	6.61066	0.00000	6.07886	5.01334	3.84948	7.21735	127.10159	30.49326	89.61713
43	Nicholas Adams	791-01-7181	single	5.44598	8.96519	6.73418	33.44845	yes	6.11707	0.00000	6.14880	4.60303	6.84903	10.01820	87.38231	41.97589	84.01821
44	Robert Howard	660-31-6333	nop	4.88074	4.79537	5.84038	53.60600	yes	5.89716	1.00000	5.29930	6.87357	4.76707	7.77136	22.21170	65.60524	88.57967
45	Gary Clark	809-39-5138	widowed	6.26782	6.78411	7.86068	58.25772	yes	4.90809	1.00000	5.42541	6.27899	4.72208	13.96134	111.36084	47.27123	55.94319
46	Lindsey Carter	218-51-9367	single	5.54616	4.55525	6.16858	35.65131	no	5.10900	0.00000	8.43532	6.82725	2.67078	4.28690	59.39226	26.19332	63.68747
47	Michael Cole	241-47-7820	separated	5.99222	7.58593	5.78049	47.45737	no	6.77358	1.00000	6.00889	7.89805	3.28396	10.79509	52.68301	34.35561	91.05147
48	Sean Holder	533-67-3654	nop	5.71568	3.62428	6.32812	46.14153	no	6.98602	0.00000	5.81474	8.95693	1.24973	9.25383	41.78022	39.25477	84.00503
49	Christy Camacho	307-91-6579	divoced	6.45852	5.02635	4.65802	33.53815	Y	6.11903	1.00000	6.05986	6.00264	2.68963	5.66054	66.43365	46.68471	85.94024
50	Timothy Davis	767-53-2779	married	6.30675	7.62108	6.46164	47.11537	yes	5.29063	1.00000	3.25570	8.99822	1.99070	6.02593	47.12483	34.36617	76.04726
51	Dennis Miranda	282-22-0912	single	7.48058	5.26886	7.17675	42.83790	no	6.71439	0.00000	7.62408	6.65951	4.04061	15.98582	94.86976	65.99429	82.40038
52	Nicholas Murray	036-55-9930	nop	6.02952	6.63573	5.03076	50.51203	N	6.01123	0.00000	6.65521	5.48066	3.37419	8.06728	73.34617	40.31173	85.91344
53	Douglas Walsh	421-33-2400	single	5.08484	5.60156	5.89378	24.85858	yes	5.76632	1.00000	6.04253	7.23964	4.66278	5.07747	14.38528	53.87125	83.08255
54	Eduardo Bond	354-90-3743	separated	6.42162	4.50922	6.06940	62.21730	Y	7.21056	0.00000	6.92893	7.28372	4.26764	11.19033	9.00462	50.30254	66.50115
55	Robert Castillo	404-45-9450	married	5.18267	5.18834	7.83545	64.95849	no	4.74627	1.00000	4.23228	7.55325	3.99099	15.31038	93.22609	39.74540	45.20379
56	Joel Joseph	499-99-4183	nop	7.40743	4.74903	7.54209	54.63707	yes	6.84028	0.00000	6.57180		6.00977	15.07778	44.30724	58.91770	89.77834
57	Brandon Riley	715-76-1457	married	4.85692	6.21478	4.10978	8.02866	no	6.68741	0.00000	6.54017	5.71048	3.25821	9.04340	78.52032	39.31844	75.94955
58	Angela Ware	696-07-1367	nop	6.36146	5.81566	6.85740	54.74895	no	5.87125	0.00000	7.94246	4.92883	2.70966	8.90953	22.69981	40.52164	87.80187
59	Zachary Johnson	823-06-5922	single	6.52235	7.62477	5.10334	41.91185	no	6.97836	1.00000	3.82825	8.88792	1.91692	7.95379	50.81559	51.47068	80.37429
60	Hannah Rivera	357-46-6779	divoced	6.80985	6.40508	5.00059	34.91419	no	6.47112	1.00000	4.54135	6.93323	5.38955	8.79639	55.69272	70.31809	90.97129
