	birthdate	race	residence	sex	blood_group	job	name	address	ssn
0	15 May 1993	White	"654 Murray Green
East Ritafort, IA 01722"	M	B-	Psychotherapist, dance movement	Cody Nichols	"Unit 8840 Box 8642
DPO AA 87697"	094-80-9140
1	1982-01-27	White	"790 Hartman Fall
South Cindy, KS 78171"	M	B-	Data scientist	Samuel Lopez DVM	"94200 Andrew Extensions Apt. 988
Peckview, OK 65224"	842-70-4675
2	02/26/1934, 00:00:00	White	"4128 Brown Overpass
Aprilshire, NC 56465"	M	A-	Museum education officer	Brandon Shaw	"7915 Victoria Estate
South Moniquechester, MA 14888"	633-81-4143
3	1920/12/17	White	"365 Emily Forks Suite 960
Kevinmouth, AZ 89331"	F	AB-	Copywriter, advertising	Selena Mccoy	"47385 Newton Mountains
New Patrickchester, NJ 81017"	323-46-2043
4	01 May 1993	Black	"0779 Alexander Walks
Williamsside, MT 89105"	F	A-	Accountant, chartered management	Brittany Wu	"65855 Ortega Square Apt. 472
Kaylaburgh, LA 43213"	032-19-8452
5	03/03/1995, 00:00:00	White	"902 John Well
Ryanbury, MD 99335"	M	A-	Insurance underwriter	Jason Larsen	"7794 Sue Junctions Apt. 213
Mooreton, WY 28227"	817-08-8958
6	04/13/1991, 00:00:00	White	"64343 Adam Isle
Jamiehaven, OK 90543"	F	B+	Designer, fashion/clothing	Amy Chung	"89878 Arthur Track
New Erika, NC 89485"	167-18-2172
7	1940-06-03	White	"1727 Johnson Fields Apt. 715
Grossville, AZ 71417"	F	O-	Interpreter	Jennifer Simmons	"85685 Moore Fords
Brownchester, CT 37668"	389-71-7776
8	09/15/2018, 00:00:00	Black	"59839 Tammy Hills Apt. 936
New Alexis, NY 56925"	F	B-	Development worker, community	Amanda Jensen	"6018 William Centers
Armstronghaven, ND 53165"	325-98-8239
9	02 Jun 1942	Asian	"892 Smith Springs Suite 759
Baileytown, TX 78660"	F	AB+	Commercial horticulturist	Amber Wilson	"682 Maldonado Pass
South Madison, MT 66525"	872-16-6077
10	1977-01-12	White	"0746 Palmer Cape
Smallmouth, NM 61741"	F	O+	Osteopath	Yvonne Wells	"41342 Klein Rapid Apt. 458
South Tamara, VT 41938"	488-41-6879
11	1985-11-17	White	"8638 Knapp Glens
New Kevin, KY 89574"	F	A-	Film/video editor	Stacey Williams	"12446 Elizabeth Junctions
Amyberg, MO 78463"	314-23-8073
12	12/03/2001, 00:00:00	White	"8306 Ryan Shores Apt. 726
Port Cassandrachester, MS 23480"	F	B-	Nurse, learning disability	Patricia Smith	"55545 Christopher Ford Suite 199
Amandaland, MD 28555"	677-48-4910
13	08 Sep 2021	black	"8921 Porter Avenue
Courtneyshire, SD 47803"	M	O+	Legal secretary	Richard Allen	"4029 Franco Meadow Suite 362
Christinemouth, ND 88600"	395-30-9830
14	1923/03/29	Indian	"7171 Hart Stravenue
Port Samantha, NC 64993"	M	B-	Freight forwarder	Nicholas Young	"98839 Natasha Street
Baldwinmouth, IL 83902"	084-61-0575
15	2019/01/03	White	"3456 Carter Crossroad
West Jeremy, MN 33046"	M	B-	Merchant navy officer	Michael Mcconnell	"3350 Karl Corner
East Brittany, IL 19311"	584-52-1566
16	2002-02-01	White	"Unit 3532 Box 6013
DPO AP 93165"	F	A+	Industrial buyer	Linda Jones	"5734 Haynes Turnpike Suite 686
Kathleenstad, MA 09776"	411-84-6046
17	1980-03-17	Asian	"2747 Harris Estates
North Lonniebury, NC 61206"	F	B+	Farm manager	Renee Lewis	"932 Edwards Row
North Markstad, IN 11380"	864-76-7965
18	07/09/1909, 00:00:00	Black	"3077 Charles Landing Apt. 266
New Markborough, MD 19189"	F	B-	Research scientist (maths)	Lindsey Gray	"59912 Shannon Shores
Harmonchester, VT 75893"	409-36-6835
19	02/20/1953, 00:00:00	Asian	"545 Katherine Gardens Apt. 535
Davischester, MT 45723"	F	A-	Air broker	Breanna James	"03610 Joel Throughway
Mezaview, CT 53155"	320-87-0723
20	08/22/1959, 00:00:00	Black	"588 Angela Valleys Suite 598
Crystalland, DE 73187"	M	B+	Product designer	Danny Briggs	"6582 Jackson Inlet Suite 682
Kristenville, MI 76070"	773-10-1967
21	01 Dec 1905	White	"82245 Adam Crossing
North Andrewbury, TN 77970"	F	B-	Aeronautical engineer	Julia Valentine	"6592 Nguyen Plaza
Benjaminmouth, PA 09434"	180-06-5580
22	1956/01/24	White	"3771 Sims River
Dianaview, SC 79117"	F	B+	Development worker, community	Cindy Sellers	"8848 Williams Village
South Michael, AR 51919"	710-20-3448
23	02/23/1908, 00:00:00	Black	"USS Campbell
FPO AA 46414"	F	A-	Broadcast engineer	Brandy Guzman	"766 Heidi Trail Apt. 949
North Danamouth, KY 41363"	190-87-0569
24	03/05/1927, 00:00:00	Indian	"69258 Mason Center
Thompsonville, WV 67310"	F	AB+	Theatre stage manager	Jennifer Smith	"78699 Farley Isle
West Paul, GA 62106"	436-48-1569
25	1958-02-14	Black	"819 Davis Keys
Wongstad, TX 77524"	M	O-	Engineer, mining	Matthew Wagner	"7474 Ward Manor
Maryburgh, SD 51316"	294-13-0079
26	1949/11/23	Black	"037 Hall Neck
Alecside, OK 29915"	M	O+	Chief Technology Officer	Jackson Nelson	"8519 Tara Harbors
Lake Christopher, AK 28353"	729-49-6088
27	05/27/1965, 00:00:00	black	"8173 Yates Stravenue Apt. 045
East Nicole, CA 87466"	M	A-	Marketing executive	Damon Grant	"9374 Barrett Glens Suite 530
Mitchellville, KY 92632"	689-02-4810
28	1938/03/05	White	"531 David Circles
Carlaberg, IL 52849"	M	B-	Engineer, site	Robert Walker	"236 Jackson Hill
New Tylerhaven, DC 81519"	436-21-6539
29	1948-02-04	White	"8812 Timothy Lake Apt. 028
New Travisport, NH 33915"	M	O+	Advertising copywriter	George Jacobs	"793 Veronica Lane
Youngland, IN 01129"	025-29-5667
30	23 Jan 1944	Hawaiian	"201 Stephanie Walk
Lopezbury, DE 99585"	F	B+	Software engineer	Karen Dominguez	"538 Roy Well Suite 919
South Stephanieton, VT 78693"	618-30-1314
31	20 Nov 1941	Black	"PSC 0860, Box 8695
APO AA 82344"	F	O+	Osteopath	Barbara Greene	"9278 Harrison Fords
Hufffurt, MS 15501"	595-59-8860
32	1991-08-10	White	"07830 Zachary Garden
Jeromeshire, PA 33915"	F	O-	Tax inspector	Andrea Parker	"PSC 4009, Box 5002
APO AE 15606"	330-90-3434
33	07/14/1950, 00:00:00	Black	"5569 Jensen Crossroad
Millerbury, DC 57774"	F	B-	Planning and development surveyor	Carrie Roman	"55440 Mueller Land
West Charles, PA 86703"	732-39-1330
34	01/05/2007, 00:00:00	White	"20882 Jones Track Suite 389
Lake Jeffrey, VT 67659"	M	A-	Location manager	Douglas Lowery	"209 Figueroa Roads
Salinashaven, NJ 04143"	031-83-8252
35	2019-09-15	Indian	"63154 Erica Island Apt. 029
Travistown, NV 81687"	M	B+	Teacher, English as a foreign language	Ronnie Williams	"USS Bailey
FPO AA 22053"	406-58-8294
